Week,Total Orders,Completed Orders,Active Drivers,Avg Online Hours,Allocated Orders,Cancelled Orders,Cancelled Driver,Cancelled Consumer,Average Delivery Time (mins),Time to Allocate,Time to Restaurant,Time at Restaurant,Time to Customer,Fulfillment Rate (%),Driver Utilization (trips/hour)
Week 1,718790.0,703682.0,15158.0,44.595,712321.0,8639.0,3205.0,5434.0,37.176,0.5,8.3,18.15,10.226000000000003,97.89813436469622,1.0409943467841911
Week 2,719821.0,705961.0,15926.0,45.252,714063.0,8102.0,3142.0,4960.0,34.355999999999995,0.44,8.2,16.3,9.415999999999997,98.07452130460211,0.9795716774098591
Week 3,735488.0,713296.0,16396.0,42.939,720999.0,7703.0,3172.0,4531.0,33.324,0.46,8.35,14.9,9.613999999999997,96.98268360598678,1.0131644736482894
Week 4,759320.0,745966.0,16630.0,45.018,752942.0,6976.0,2786.0,4190.0,33.156,0.43,9.03,14.35,9.346,98.24132118211031,0.9964157585445811
Week 5,715391.0,704265.0,15863.0,47.745,709740.0,5475.0,2129.0,3346.0,32.147999999999996,0.34,8.21,13.89,9.707999999999995,98.44476656821234,0.9298713859793315
Week 6,814385.0,787825.0,17051.0,44.289,793782.0,5957.0,4128.0,1829.0,36.647999999999996,0.44,8.88,17.32,10.007999999999996,96.73864327068893,1.0432395166737032
Week 7,763463.0,751809.0,16173.0,46.917,756898.0,5089.0,3179.0,1910.0,32.928,0.48,8.32,14.23,9.897999999999996,98.47353440834723,0.9908016005737755
Week 8,1004164.0,892374.0,17820.0,42.048,909472.0,17098.0,3820.0,13278.0,35.507999999999996,0.32,8.64,17.32,9.227999999999994,88.86735632824917,1.190950922210435
